t_s,ego_kph,lead_kph,distance_m,lead_probability,stock_setpoint_kph,old_requested_kph,old_ramp_kph,new_requested_kph,new_ramp_kph
5.100,132.265,114.286,95.094,0.837,133,126,133,111,133
5.900,132.173,106.655,90.849,0.890,133,115,132,95,128
6.400,132.202,115.215,86.675,0.920,133,121,131,95,124
7.500,131.543,109.995,98.458,0.898,133,124,129,95,116
8.500,129.835,103.558,83.924,0.928,133,108,127,87,111
9.501,128.100,111.398,71.308,0.974,133,107,126,85,105
10.302,126.750,115.295,84.238,0.803,133,121,124,85,100
11.102,125.638,122.111,100.250,0.697,133,0,133,0,133
